부품명,Part No,제목,정리,부품체계_1,부품체계_2,부품체계_3,data,target,target_빈도,data_len,predict
"W/STRIP ASSY-RR DR BELT O/S,LH",83210-S9010,Wrong sub part assembled,WRONG PART ASSEMBLED,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,WRONG PART ASSEMBLED TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,서브파트이종,32,7,이색
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-C7000,BURR PROBLEM  (L),BURR PROBLEM,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,BURR PROBLEM TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,버,382,6,버
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-D3000,Dent,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-D3000,Dent,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-D3000,Dent,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-D3000,Dent,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-D3010,Dent,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-G3010,Contamination,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-H0500,"(FX363) W/STRIP ASSY-RR DR BELT O/S,RH - DAMAGE",DAMAGE,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DAMAGE TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,파손,546,5,파손
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-H9000,"SC - W/Strip Assy RR DR Belt O/S, RH - Wrinkles - Woo Young",WRINKLES,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,WRINKLES TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,주름,25,5,주름
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-H9000,SC - W/Strip Assy RR DR Belt O/S - Packing Marks - Woo Young,PACKING MARKS,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,PACKING MARKS TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,눌림,26,6,눌림
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7010,QC 83220-J7010 DIFFERENT SPECIFICATION,DIFFERENT SPECIFICATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DIFFERENT SPECIFICATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,이종,199,6,이종
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 SCRATCH,SCRATCH,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,SCRATCH TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,스크래치,892,5,스크래치
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 SCRATCH,SCRATCH,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,SCRATCH TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,스크래치,892,5,스크래치
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 SCRATCH,SCRATCH,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,SCRATCH TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,스크래치,892,5,스크래치
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 SCRATCH,SCRATCH,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,SCRATCH TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,스크래치,892,5,스크래치
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 DENT,DENT,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,DENT TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,덴트,204,5,덴트
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 CONTAMINATION BY TAPE,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 CONTAMINATION BY TAPE,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 CONTAMINATION BY TAPE,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 CONTAMINATION BY TAPE,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068-VER1 CONTAMINATION BY TAPE,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,WI-ASSY-2020-068 CONTAMINATION BY TAPE,CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,QC 83220-J7800 CLIP OUT OF POSITION,POSITION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,POSITION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,클립위치불량,6,5,이색
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J7800,LINE CONTAMINATION BY TAPE (IQR-2020-117),CONTAMINATION,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,CONTAMINATION TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,오염,613,5,오염
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J9000,Wrong assemble clip,WRONG ASSEMBLE,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,WRONG ASSEMBLE TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,클립위치불량,6,6,이종
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-J9000,Missing clip,MISSING,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,MISSING TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,클립누락,8,5,클립누락
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-S9000,"ON_(주)세동_W/STRIP ASSY-RR DR BELT O/S, RH_이종",이종,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,이종 TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,이종,199,5,이종
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-S9000,"ON_(주)세동_W/STRIP ASSY-RR DR BELT O/S, RH_이종",이종,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,이종 TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,이종,199,5,이종
"W/STRIP ASSY-RR DR BELT O/S,RH",83220-S9010,"ON_(주)세동_W/STRIP ASSY-RR DR BELT O/S,RH_수량 부족",수량 부족,TRIM,DOOR TRIMS-REAR,웨더스트립_도어벨트아웃사이드,수량 부족 TRIM DOOR TRIMSREAR 웨더스트립도어벨트아웃사이드,수량부족,98,6,주름
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"W/STRIP-RR DR BELT I/S,RH",83241-J7700,QC 83241-J7700 - DEFORMATION,DEFORMATION,TRIM,DOOR TRIMS-REAR,웨더스트립_인사이드도어벨트,DEFORMATION TRIM DOOR TRIMSREAR 웨더스트립인사이드도어벨트,눌림,26,5,눌림
"COVER-RR DR FRAME FR CORNER,RH",832B0-R1000,WRONG PARTS,WRONG PART,TRIM,DOOR TRIMS-REAR,커버_도어프레임코너,WRONG PART TRIM DOOR TRIMSREAR 커버도어프레임코너,이종,199,6,이종
"PNL ASSY-RR DR TRIM COMPL,LH",83301-A9770KK8,"PNL ASSY-RR DR TRIM COMPL,LH-Gap due to deformation",GAP DEFORMATION,TRIM,DOOR TRIMS-REAR,판넬_도어트림,GAP DEFORMATION TRIM DOOR TRIMSREAR 판넬도어트림,바디갭,183,6,바디갭
"PNL ASSY-RR DR TRIM COMPL,LH",83301-A9770KK8,"PNL ASSY-RR DR TRIM COMPL,LH - bracket bend ",BEND,TRIM,DOOR TRIMS-REAR,판넬_도어트림,BEND TRIM DOOR TRIMSREAR 판넬도어트림,휨,619,5,스크래치
"PNL ASSY-RR DR TRIM COMPL,RH",83302-A9750BF8,"PNL ASSY-RR DR TRIM COMPL,RH-Door curtain not retracting completely",NOT RETRACTING COMPLETELY,TRIM,DOOR TRIMS-REAR,판넬_도어트림,NOT RETRACTING COMPLETELY TRIM DOOR TRIMSREAR 판넬도어트림,작동불량,381,7,미성형
"PNL ASSY-RR DR TRIM COMPL,RH",83302-D9220GB4,"PNL ASSY-RR DR TRIM COMPL,RH 사출불량",사출불량,TRIM,DOOR TRIMS-REAR,판넬_도어트림,사출불량 TRIM DOOR TRIMSREAR 판넬도어트림,찍힘,66,5,주름
GLASS-SLIDING DR FLUSH WINDOW ,83380-59030,MACHINING PROBLEM,MACHINING PROBLEM,TRIM,DOOR TRIMS-REAR,글라스_슬라이딩도어,MACHINING PROBLEM TRIM DOOR TRIMSREAR 글라스슬라이딩도어,머시닝불량,67,6,주름
GLASS-SLIDING DR FLUSH WINDOW ,83380-59030,ASSEMBLY PROBLEM,ASSEMBLY PROBLEM,TRIM,DOOR TRIMS-REAR,글라스_슬라이딩도어,ASSEMBLY PROBLEM TRIM DOOR TRIMSREAR 글라스슬라이딩도어,서브파트오조립,13,6,이색
"REGULATOR ASSY-RR DR P/WDW,LH",83401-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"REGULATOR ASSY-RR DR P/WDW,LH",83401-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"REGULATOR ASSY-RR DR P/WDW,LH",83401-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"REGULATOR ASSY-RR DR P/WDW,RH",83402-A0000,(GM216) DR WDW REGULATOR MOTOR - ABNORMAL NOISE,ABNORMAL NOISE,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,ABNORMAL NOISE TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,노이즈,404,6,노이즈
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"REG ASSY-RR DR PWR/WDW,RH",83402-A9210,"REG ASSY-RR DR PWR/WDW,RH-Motor over heating and abnormal noise",ABNORMAL NOISE,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,ABNORMAL NOISE TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,노이즈,404,6,노이즈
"REGULATOR ASSY-RR DR P/WDW,RH",83402-H0010,(FM144) DR WDW REGULATOR MOTOR - ABNORMAL NOISE,ABNORMAL NOISE,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,ABNORMAL NOISE TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,노이즈,404,6,노이즈
"REGULATOR ASSY-RR DR P/WDW,RH",83402-M4000,Part with contamination,PART CONTAMINATION,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,PART CONTAMINATION TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,오염,613,6,오염
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"REGULATOR ASSY-RR DR P/WDW,RH",83402-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"REGULATOR ASSY-RR DR P/WDW,RH",83402-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"REGULATOR ASSY-RR DR P/WDW,RH",83402-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"REGULATOR ASSY-RR DR P/WDW,RH",83402-M4010,FUNCTION PROBLEM,FUNCTION PROBLEM,TRIM,DOOR TRIMS-REAR,레귤레이터_도어파워윈도우,FUNCTION PROBLEM TRIM DOOR TRIMSREAR 레귤레이터도어파워윈도우,nan,7,6,주름
"GLASS ASSY-RR DR TINTED,LH",83410-H5000,(HX257) RR Door glass - dent/distortion_R20201001TA24,DENT DISTORTION,TRIM,DOOR TRIMS-REAR,"글라스_도어,틴트",DENT DISTORTION TRIM DOOR TRIMSREAR 글라스도어틴트,덴트,204,6,덴트
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,LH_DETACHING (K200400202) ",DETACHING,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,5,접착력부족
"GLASS ASSY-RR DR,LH",83410-K0010,"GLASS ASSY-RR DR,LH 이종",이종,TRIM,DOOR TRIMS-REAR,글라스_도어,이종 TRIM DOOR TRIMSREAR 글라스도어,이종,199,5,이종
"GARNISH ASSY-RR DR SIDE,LH",87731-H0500,(FX365) GARNISH DOOR SIDE - DETACHING PROBLEM _331890 331889,DETACHING PROBLEM,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,DETACHING PROBLEM TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,6,접착력부족
"GLASS ASSY-RR DR,LH",83410-M7020,"BDm - Glass Assy RR DR, LH - Chip - KAC",CHIP,TRIM,DOOR TRIMS-REAR,글라스_도어,CHIP TRIM DOOR TRIMSREAR 글라스도어,칩,58,5,칩
"GARNISH ASSY-RR DR SIDE,RH",87732-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,RH_ADHESIVE PROBLEM (K200400269) ",ADHESIVE PROBLEM,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,ADHESIVE PROBLEM TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,6,접착력부족
"GARNISH ASSY-RR DR SIDE,RH",87732-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,RH_ADHESIVE PROBLEM (K200400269) ",ADHESIVE PROBLEM,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,ADHESIVE PROBLEM TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,6,접착력부족
"GARNISH ASSY-RR DR SIDE,RH",87732-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,RH_ADHESIVE PROBLEM (K200400269) ",ADHESIVE PROBLEM,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,ADHESIVE PROBLEM TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,6,접착력부족
"GARNISH ASSY-RR DR SIDE,RH",87732-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,RH_ADHESIVE PROBLEM (K200400269) ",ADHESIVE PROBLEM,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,ADHESIVE PROBLEM TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,6,접착력부족
"GLASS ASSY-RR DR TINTED,RH",83420-H5000,"(HX195) GLASS ASSY-RR DR CLEAR,RH - DENT (Foreign object)_331347",DENT FOREIGN OBJECT,TRIM,DOOR TRIMS-REAR,"글라스_도어,틴트",DENT FOREIGN OBJECT TRIM DOOR TRIMSREAR 글라스도어틴트,덴트,204,7,이종
"GARNISH ASSY-RR DR SIDE,RH",87732-H0500,"G-PLATECH_GARNISH ASSY-RR DR SIDE,RH_ADHESIVE PROBLEM (K200400269) ",ADHESIVE PROBLEM,TRIM,EXTERIOR TRIMS,가니쉬_도어사이드,ADHESIVE PROBLEM TRIM EXTERIOR TRIMS 가니쉬도어사이드,접착력부족,71,6,접착력부족
"GLASS ASSY-RR DR PRIVACY,RH",83420-J9020,Scratch,SCRATCH,TRIM,DOOR TRIMS-REAR,"글라스_도어,프라이버시",SCRATCH TRIM DOOR TRIMSREAR 글라스도어프라이버시,스크래치,892,5,스크래치
